Series Name,Country,Country_Code,YR2012,YR2013,YR2014
GDP per capita (current US$),Turkey,TUR,11707.2597122125,12519.3914259008,12095.8545719465
GDP per capita (current US$),Brazil,BRA,12370.0242007149,12300.3225752233,12112.5903019529
GDP per capita (current US$),Argentina,ARG,13082.664325572,13080.2547323367,12334.7982453893
GDP per capita (current US$),Panama,PAN,10722.2836326295,11889.1276274385,12796.0700430496
GDP per capita (current US$),Kazakhstan,KAZ,12386.7000029472,13890.6317716835,12807.2606866152
GDP per capita (current US$),Croatia,HRV,13250.7571179806,13665.9141789877,13609.4973131526
GDP per capita (current US$),Antigua and Barbuda,ATG,13399.2379486965,13035.0936407801,13780.7823704952
GDP per capita (current US$),Palau,PLW,12168.2823129252,12799.3695331137,13938.2219448542
GDP per capita (current US$),Russian Federation,RUS,15434.5747807082,16007.089993444,14100.7291028658
GDP per capita (current US$),Hungary,HUN,12888.3045908829,13668.226050329,14197.8369994803
GDP per capita (current US$),Poland,POL,13145.5392627865,13781.0626053813,14347.9145754456
GDP per capita (current US$),Chile,CHL,15351.5513257697,15842.9400901334,14670.9971754461
GDP per capita (current US$),Seychelles,SYC,12006.68296237,14765.6739800428,14700.3343408386
GDP per capita (current US$),Northern Mariana Islands,MNP,13827.7696967465,14274.2406542056,15278.9078745141
GDP per capita (current US$),Latvia,LVA,13822.8055940347,15032.2820131489,15716.3690672011
GDP per capita (current US$),"Venezuela, RB",VEN,12985.5053251065,12456.7124535391,16054.4905130962
GDP per capita (current US$),Barbados,BRB,16412.9362002115,16224.2873624673,16179.5839550601
GDP per capita (current US$),Lithuania,LTU,14341.1816279932,15693.7867282599,16545.1226673996
GDP per capita (current US$),Uruguay,URY,15171.5846634188,16973.6742130217,16831.9729440778
GDP per capita (current US$),St. Kitts and Nevis,KNA,16044.1161268912,16878.1904573943,18057.615305661
GDP per capita (current US$),Slovak Republic,SVK,17274.6423040509,18191.612786163,18629.7796630086
GDP per capita (current US$),Equatorial Guinea,GNQ,21712.3950163809,20384.9245274473,19368.2309101895
GDP per capita (current US$),Czech Republic,CZE,19729.8705111763,19916.0193873722,19744.5586092159
GDP per capita (current US$),Oman,OMN,21923.5480214797,20926.5540495711,20131.9813016555
GDP per capita (current US$),Trinidad and Tobago,TTO,19161.9599135545,20026.7875344705,20169.6530123585
GDP per capita (current US$),Estonia,EST,17421.8902227378,19072.2385175669,20247.1993011108
GDP per capita (current US$),Curacao,CUW,20587.397358013,20462.7179539813,20258.0096948833
GDP per capita (current US$),Greece,GRC,22242.681934771,21874.8195041667,21760.9797994918
GDP per capita (current US$),Portugal,PRT,20577.4026375899,21618.7353389663,22077.5361325219
GDP per capita (current US$),Turks and Caicos Islands,TCA,21009.8858098984,21328.9790101063,23296.3369051995
GDP per capita (current US$),Slovenia,SVN,22532.4356384588,23357.939198652,24194.974352808
GDP per capita (current US$),Saudi Arabia,SAU,25243.3586984024,24844.7443709487,24463.9031638501
GDP per capita (current US$),Bahrain,BHR,23654.3513912828,24744.3576319157,24989.4001204704
GDP per capita (current US$),Aruba,ABW,24713.6980451285,25025.0995629083,25533.5697803984
GDP per capita (current US$),Malta,MLT,21931.7476232751,23830.9370579095,25961.3278775346
GDP per capita (current US$),Cyprus,CYP,28984.9445491789,27942.3012696028,27407.1528617811
GDP per capita (current US$),"Korea, Rep.",KOR,24358.7821758226,25890.0186698906,27811.36638377
GDP per capita (current US$),Puerto Rico,PRI,27944.7338937424,28513.1657351067,28981.4573305866
GDP per capita (current US$),"Bahamas, The",BHS,29485.6209294138,28944.7882168381,29563.746347465
GDP per capita (current US$),Spain,ESP,28563.8590381915,29211.7737455935,29623.1644451343
GDP per capita (current US$),Virgin Islands (U.S.),VIR,37849.7287205036,34819.1477546185,33573.0970301435
GDP per capita (current US$),Guam,GUM,32494.5623640591,33265.3811866066,34394.0974809957
GDP per capita (current US$),Italy,ITA,34814.1251168487,35370.2752583755,35396.6657242265
GDP per capita (current US$),Israel,ISR,32543.4551534637,36344.315513024,37733.5929188595
GDP per capita (current US$),Japan,JPN,48603.4766497749,40454.4474578903,38109.4121125573
GDP per capita (current US$),"Hong Kong SAR, China",HKG,36730.8767001128,38403.7777145477,40315.2855640552
GDP per capita (current US$),Brunei Darussalam,BRN,47741.9064650052,44740.085018517,41726.7839720342
GDP per capita (current US$),Andorra,AND,38392.9439012206,40626.7516320228,42300.3341276669
GDP per capita (current US$),France,FRA,40874.7035053457,42592.9340943342,43008.6473817107
GDP per capita (current US$),United Arab Emirates,ARE,40976.4997112455,42412.6302780364,43751.8388860721
GDP per capita (current US$),Kuwait,KWT,51978.9984836395,49388.1094012499,44062.3050995611
GDP per capita (current US$),New Zealand,NZL,39970.4400394577,42949.1422285498,44533.7830906379
GDP per capita (current US$),United Kingdom,GBR,42018.7254635533,42938.4251760491,46967.6681352092
GDP per capita (current US$),Belgium,BEL,44826.4396116648,46680.3898229483,47355.3120057387
GDP per capita (current US$),Germany,DEU,44065.2489082767,46530.9114275776,48142.8272014491
GDP per capita (current US$),Finland,FIN,47415.5598711351,49638.0771298139,49914.6186421589
GDP per capita (current US$),Greenland,GRL,45936.7659516989,47535.5899453685,50484.9275739023
GDP per capita (current US$),Canada,CAN,52542.3466648232,52504.655704109,50835.5111782446
GDP per capita (current US$),Austria,AUT,48567.69528642,50716.7087062864,51717.4959405515
GDP per capita (current US$),Netherlands,NLD,50073.0056559308,52184.0618504931,52830.1742328055
GDP per capita (current US$),Iceland,ISL,45910.0209039774,49522.2369665887,54242.0546770039
GDP per capita (current US$),San Marino,SMR,56068.4345458956,57302.6880026149,54282.8097987205
GDP per capita (current US$),United States,USA,51603.4972614412,53106.9097703155,55032.9579979166
GDP per capita (current US$),Ireland,IRL,48917.8975571766,51590.1884453629,55492.982676213
GDP per capita (current US$),Singapore,SGP,55546.4885386921,56967.4257940383,57562.5307937678
GDP per capita (current US$),Sweden,SWE,57197.1993076414,60347.6874885834,59241.6063787415
GDP per capita (current US$),Faroe Islands,FRO,49459.7172338372,54853.6255967876,59440.0307606004
GDP per capita (current US$),Australia,AUS,68012.1479005934,68150.1070413215,62510.7911705641
GDP per capita (current US$),Denmark,DNK,58507.5080517852,61191.1937042028,62548.9847332908
GDP per capita (current US$),Qatar,QAT,85076.1479273998,85050.9109716822,83858.5283798723
GDP per capita (current US$),Switzerland,CHE,83538.2300783858,85112.4643984141,86605.5633762421
GDP per capita (current US$),Isle of Man,IMN,76104.681367227,80431.6727965138,88974.2286497928
GDP per capita (current US$),"Macao SAR, China",MAC,76291.8474900231,89287.4540184115,93777.1067959425
GDP per capita (current US$),Norway,NOR,101668.170658652,103059.24822759,97199.9190963458
GDP per capita (current US$),Luxembourg,LUX,106749.013622989,113625.13289956,100823.648368575
